t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
2.001253604888916,1728.00,-16040.00,4228.00,-835.00,-214.00,185.00,-0.49
2.1051008701324463,1616.00,-16196.00,4136.00,-744.00,-114.00,168.00,-0.49
2.115802526473999,1624.00,-16212.00,4140.00,-687.00,-85.00,-8.00,-0.57
2.1741018295288086,1680.00,-16220.00,4400.00,-789.00,32.00,-96.00,-0.57
2.2306482791900635,1916.00,-16204.00,4296.00,-857.00,110.00,-12.00,-0.57
2.2872555255889893,1984.00,-16236.00,4400.00,-985.00,248.00,170.00,-0.57
2.3452043533325195,1728.00,-16148.00,4272.00,-1065.00,17.00,332.00,-0.76
2.3990118503570557,1740.00,-16088.00,4152.00,-933.00,21.00,140.00,-0.76
2.4560296535491943,1712.00,-16000.00,4184.00,-883.00,25.00,-38.00,-0.63
2.513622760772705,1712.00,-15884.00,4212.00,-920.00,-132.00,167.00,-0.77
2.5710906982421875,1632.00,-16188.00,4160.00,-882.00,87.00,199.00,-0.70
2.6281771659851074,1772.00,-16160.00,4188.00,-894.00,-74.00,103.00,-0.82
2.685776710510254,1788.00,-16088.00,4328.00,-879.00,-48.00,136.00,-0.67
2.7420294284820557,1688.00,-16212.00,4288.00,-950.00,-11.00,76.00,-0.49
2.796370267868042,1984.00,-15908.00,4200.00,-777.00,-4.00,12.00,-0.49
2.8535468578338623,1576.00,-16172.00,4108.00,-1057.00,-152.00,65.00,-0.71
2.9103074073791504,1804.00,-16004.00,4228.00,-662.00,8.00,239.00,-0.69
2.9637203216552734,1764.00,-16196.00,4308.00,-796.00,-73.00,94.00,-0.65
3.021169900894165,1924.00,-16132.00,4268.00,-1014.00,64.00,142.00,-0.67
3.078181505203247,1776.00,-15992.00,4132.00,-928.00,-24.00,135.00,-0.83
3.1360902786254883,1496.00,-16020.00,3940.00,-979.00,-147.00,205.00,-0.79
3.1938912868499756,1716.00,-16032.00,4108.00,-808.00,-64.00,160.00,-0.79
3.2503180503845215,1836.00,-16152.00,4524.00,-746.00,2.00,188.00,-0.73
3.307913303375244,1756.00,-15896.00,3984.00,-941.00,17.00,135.00,-0.86
